ka_avadhi|43|0.99|13.13|27.14|60.61|14.41
ka_bhavishya_lekha|48|0.03|0.23|2.21|2.32|0.67
ka_dasha_kala|48|0.05|1.22|6.50|25.93|2.52
ka_gochara|37|0.04|0.20|128.59|142.53|11.45
ka_gochara_resonance|22|0.06|0.25|16.93|17.05|3.19
ka_gochara_sweep|9|0.57|999.52|7828.51|8022.84|2157.57
ka_gochara_v2_materialize|2|5.15|5.85|6.48|6.55|5.85
ka_gochara_v3_century_materialize|3|239.72|613.49|3203.75|3491.56|1448.25
ka_graha_sancara|32|0.09|0.14|1.46|1.99|0.33
ka_jivana_parva|45|0.17|0.62|2.79|3.19|1.01
ka_kala_darshana|48|0.03|0.37|3.41|4.24|1.09
ka_kalasutra|49|0.04|32.98|644.73|1040.83|181.41
ka_kota_chakra|7|0.05|0.70|2.99|3.16|1.28
ka_kshetra|15|0.03|236.74|5331.70|7129.39|1025.17
ka_moorti_nirnaya|8|0.04|0.75|3.72|4.51|1.32
ka_muhurta_seva|32|0.14|0.33|1.34|4.18|0.53
ka_sangam|50|0.03|462.87|2840.32|4389.75|806.39
ka_sudarshana_varsha|7|0.03|0.30|2.28|2.42|0.99
ka_taranga|43|7.07|22.33|48.01|82.52|26.79
ka_tithi_pravesha|8|0.04|1.04|2.40|2.43|1.15
ka_tulana|44|0.05|0.08|1.31|1.35|0.37
ka_vedha_gochara|8|0.04|0.05|3.30|3.36|1.20
ka_vighnakara|47|0.04|13.88|30.26|86.52|16.50
ka_yojaka|53|0.03|35.50|86.99|111.50|38.95
