[abhinandan] STALE-FIX PLAN: 60 substeps across 6 classes (out of 270 total planned)
[abhinandan] 1/60 ok key=career_advancement::g3_1984_1994 notes=career_advancement::g3_1984_1994: shape=point, era_windows=1, peaks_scanned=0, peaks_admitted=0, pea
[abhinandan] 2/60 ok key=career_advancement::g3_1994_2004 notes=career_advancement::g3_1994_2004: shape=point, era_windows=1, peaks_scanned=0, peaks_admitted=0, pea
[abhinandan] 3/60 ok key=career_advancement::g3_2004_2014 notes=career_advancement::g3_2004_2014: shape=point, era_windows=1, peaks_scanned=0, peaks_admitted=0, pea
[abhinandan] 4/60 ok key=career_advancement::g3_2014_2024 notes=career_advancement::g3_2014_2024: shape=point, era_windows=1, peaks_scanned=0, peaks_admitted=0, pea
[abhinandan] 5/60 ok key=career_advancement::g3_2024_2034 notes=career_advancement::g3_2024_2034: shape=point, era_windows=1, peaks_scanned=0, peaks_admitted=0, pea
[abhinandan] 6/60 ok key=career_advancement::g3_2034_2044 notes=career_advancement::g3_2034_2044: shape=point, era_windows=1, peaks_scanned=0, peaks_admitted=0, pea
[abhinandan] 7/60 ok key=career_advancement::g3_2044_2054 notes=career_advancement::g3_2044_2054: shape=point, era_windows=1, peaks_scanned=0, peaks_admitted=0, pea
[abhinandan] 8/60 ok key=career_advancement::g3_2054_2064 notes=career_advancement::g3_2054_2064: shape=point, era_windows=1, peaks_scanned=0, peaks_admitted=0, pea
[abhinandan] 9/60 ok key=career_advancement::g3_2064_2074 notes=career_advancement::g3_2064_2074: shape=point, era_windows=1, peaks_scanned=0, peaks_admitted=0, pea
[abhinandan] 10/60 ok key=career_advancement::g3_2074_2084 notes=career_advancement::g3_2074_2084: shape=point, era_windows=1, peaks_scanned=0, peaks_admitted=0, pea
[abhinandan] 11/60 ok key=chronic_onset::g3_1984_1994 notes=chronic_onset::g3_1984_1994: shape=interval, era_windows=1, peaks_scanned=163, peaks_admitted=29, pe
[abhinandan] 12/60 ok key=chronic_onset::g3_1994_2004 notes=chronic_onset::g3_1994_2004: shape=interval, era_windows=1, peaks_scanned=117, peaks_admitted=26, pe
[abhinandan] 13/60 ok key=chronic_onset::g3_2004_2014 notes=chronic_onset::g3_2004_2014: shape=interval, era_windows=1, peaks_scanned=204, peaks_admitted=25, pe
