const_name,name,uri,layer,file
yogaActivationByDashaCapability,yoga_activation_by_dasha,marsys://tool/L-TIMING/yoga_activation_by_dasha,L3,platform/src/lib/retrieval/registry/layers/register_d8_assess_domain.ts
judgmentQueryCapability,judgment_query,marsys://tool/L-JUDGMENT/judgment_query,L2,platform/src/lib/retrieval/registry/layers/register_d9_judgment.ts
pactQueryCapability,pact_query,marsys://tool/L-PACT/pact_query,L2,platform/src/lib/retrieval/registry/layers/register_d10_pact.ts
getDashaLordCapabilityCapability,get_dasha_lord_capability,marsys://tool/L1/get_dasha_lord_capability,L1,platform/src/lib/retrieval/registry/layers/L1_ganita/get_dasha_lord_capability.ts
getEclipseFlagsCapability,get_eclipse_flags,marsys://tool/L1/get_eclipse_flags,L1,platform/src/lib/retrieval/registry/layers/L1_ganita/get_eclipse_flags.ts
getTransitAnchorsCapability,get_transit_anchors,marsys://tool/L1/get_transit_anchors,L1,platform/src/lib/retrieval/registry/layers/L1_ganita/get_transit_anchors.ts
getChartSnapshotCapability,chart_snapshot,marsys://tool/L1/chart_snapshot,L1,platform/src/lib/retrieval/registry/layers/L1_ganita/get_chart_snapshot.ts
getVastuDirectionsCapability,get_vastu_directions,marsys://tool/L1/get_vastu_directions,L1,platform/src/lib/retrieval/registry/layers/L1_ganita/get_vastu_directions.ts
getSadeSatiCapability,get_sade_sati,marsys://tool/L1/get_sade_sati,L1,platform/src/lib/retrieval/registry/layers/L1_ganita/get_sade_sati.ts
getDashasCapability,get_dashas,marsys://tool/L1/get_dashas,L1,platform/src/lib/retrieval/registry/layers/L1_ganita/get_dashas.ts
getTaraChanndraBalaCapability,get_tara_chandra_bala,marsys://tool/L1/get_tara_chandra_bala,L1,platform/src/lib/retrieval/registry/layers/L1_ganita/get_tara_chandra_bala.ts
getSensitivePointsCapability,get_sensitive_points,marsys://tool/L1/get_sensitive_points,L1,platform/src/lib/retrieval/registry/layers/L1_ganita/get_sensitive_points.ts
getAshtakavargaCapability,get_ashtakavarga,marsys://tool/L1/get_ashtakavarga,L1,platform/src/lib/retrieval/registry/layers/L1_ganita/get_ashtakavarga.ts
getVicharaCapability,get_vichara,marsys://tool/L1/get_vichara,L1,platform/src/lib/retrieval/registry/layers/L1_ganita/get_vichara.ts
getYogaDoshaCapability,get_yoga_dosha,marsys://tool/L1/get_yoga_dosha,L1,platform/src/lib/retrieval/registry/layers/L1_ganita/get_yoga_dosha.ts
getStrengthCapability,get_strength,marsys://tool/L1/get_strength,L1,platform/src/lib/retrieval/registry/layers/L1_ganita/get_strength.ts
getPanchangaCapability,get_panchanga,marsys://tool/L1/get_panchanga,L1,platform/src/lib/retrieval/registry/layers/L1_ganita/get_panchanga.ts
getAvasthsCapability,get_avasthas,marsys://tool/L1/get_avasthas,L1,platform/src/lib/retrieval/registry/layers/L1_ganita/get_avasthas.ts
getPositionsCapability,get_positions,marsys://tool/L1/get_positions,L1,platform/src/lib/retrieval/registry/layers/L1_ganita/get_positions.ts
getMedicalIndicationsCapability,get_medical_indications,marsys://tool/L1/get_medical_indications,L1,platform/src/lib/retrieval/registry/layers/L1_ganita/get_medical_indications.ts
getBhavaBalaCapability,get_bhava_bala,marsys://tool/L1/get_bhava_bala,L1,platform/src/lib/retrieval/registry/layers/L1_ganita/get_bhava_bala.ts
getGrahaYuddhaCapability,get_graha_yuddha,marsys://tool/L1/get_graha_yuddha,L1,platform/src/lib/retrieval/registry/layers/L1_ganita/get_graha_yuddha.ts
getAyurdayaCapability,get_ayurdaya,marsys://tool/L1/get_ayurdaya,L1,platform/src/lib/retrieval/registry/layers/L1_ganita/get_ayurdaya.ts
getYogaFiringsCapability,get_yoga_firings,marsys://tool/L1/get_yoga_firings,L1,platform/src/lib/retrieval/registry/layers/L1_ganita/get_yoga_firings.ts
getKarakasCapability,get_karakas,marsys://tool/L1/get_karakas,L1,platform/src/lib/retrieval/registry/layers/L1_ganita/get_karakas.ts
getDivisionalsCapability,get_divisionals,marsys://tool/L1/get_divisionals,L1,platform/src/lib/retrieval/registry/layers/L1_ganita/get_divisionals.ts
getAspectsCapability,get_aspects,marsys://tool/L1/get_aspects,L1,platform/src/lib/retrieval/registry/layers/L1_ganita/get_aspects.ts
getChartHeaderCapability,get_chart_header,marsys://tool/L1/get_chart_header,L1,platform/src/lib/retrieval/registry/layers/L1_ganita/get_chart_header.ts
getArgalaCapability,get_argala,marsys://tool/L1/get_argala,L1,platform/src/lib/retrieval/registry/layers/L1_ganita/get_argala.ts
getTajikCapability,get_tajik,marsys://tool/L1/get_tajik,L1,platform/src/lib/retrieval/registry/layers/L1_ganita/get_tajik.ts
getDignityCapability,get_dignity,marsys://tool/L1/get_dignity,L1,platform/src/lib/retrieval/registry/layers/L1_ganita/get_dignity.ts
getDispositorsCapability,get_dispositors,marsys://tool/L1/get_dispositors,L1,platform/src/lib/retrieval/registry/layers/L1_ganita/get_dispositors.ts
getSensitiveDegreesCapability,get_sensitive_degrees,marsys://tool/L1/get_sensitive_degrees,L1,platform/src/lib/retrieval/registry/layers/L1_ganita/get_sensitive_degrees.ts
queryRetrogradePeriodsCapability,query_retrograde_periods,marsys://tool/L0/query_retrograde_periods,L0,platform/src/lib/retrieval/registry/layers/L0_brahmagyan/query_retrograde_periods.ts
queryRemedyCorpusCapability,query_remedy_corpus,marsys://tool/L0/query_remedy_corpus,L0,platform/src/lib/retrieval/registry/layers/L0_brahmagyan/query_remedy_corpus.ts
assetRegistryL0Capability,asset_registry_l0,marsys://resource/asset-registry/L0,L0,platform/src/lib/retrieval/registry/layers/L0_brahmagyan/asset_registry_l0.ts
listEntitiesCapability,list_entities,marsys://tool/L0/list_entities,L0,platform/src/lib/retrieval/registry/layers/L0_brahmagyan/list_entities.ts
intentClassifyCapability,intent_classify,marsys://prompt/intent-classify,L0,platform/src/lib/retrieval/registry/layers/L0_brahmagyan/intent_classify.ts
querySignMedicalCapability,query_sign_medical,marsys://tool/L0/query_sign_medical,L0,platform/src/lib/retrieval/registry/layers/L0_brahmagyan/query_sign_medical.ts
queryYogaCatalogCapability,query_yoga_catalog,marsys://tool/L0/query_yoga_catalog,L0,platform/src/lib/retrieval/registry/layers/L0_brahmagyan/query_yoga_catalog.ts
queryPlanetPositionCapability,query_planet_position,marsys://tool/L0/query_planet_position,L0,platform/src/lib/retrieval/registry/layers/L0_brahmagyan/query_planet_position.ts
resolveEntityCapability,resolve_entity,marsys://tool/L0/resolve_entity,L0,platform/src/lib/retrieval/registry/layers/L0_brahmagyan/resolve_entity.ts
queryDoshaCatalogCapability,query_dosha_catalog,marsys://tool/L0/query_dosha_catalog,L0,platform/src/lib/retrieval/registry/layers/L0_brahmagyan/query_dosha_catalog.ts
ephemerisCacheYearCapability,ephemeris_cache_year,marsys://resource/ephemeris-cache/year/{yyyy},L0,platform/src/lib/retrieval/registry/layers/L0_brahmagyan/ephemeris_cache_year.ts
queryAspectsAtTimeCapability,query_aspects_at_time,marsys://tool/L0/query_aspects_at_time,L0,platform/src/lib/retrieval/registry/layers/L0_brahmagyan/query_aspects_at_time.ts
assetRegistryAllCapability,asset_registry_all,marsys://resource/asset-registry/all,L0,platform/src/lib/retrieval/registry/layers/L0_brahmagyan/asset_registry_all.ts
ephemerisCacheNativeLifetimeCapability,ephemeris_cache_native_lifetime,marsys://resource/ephemeris-cache/native-lifetime,L0,platform/src/lib/retrieval/registry/layers/L0_brahmagyan/ephemeris_cache_native_lifetime.ts
queryPlanetTransitCapability,query_planet_transit,marsys://tool/L0/query_planet_transit,L0,platform/src/lib/retrieval/registry/layers/L0_brahmagyan/query_planet_transit.ts
queryClassicalTextsCapability,query_classical_texts,marsys://tool/L0/query_classical_texts,L0,platform/src/lib/retrieval/registry/layers/L0_brahmagyan/query_classical_texts.ts
queryInsightsCapability,query_insights,marsys://tool/L5/query_insights,L5,platform/src/lib/retrieval/registry/layers/L5_mimamsa/query_insights.ts
querySignalFamiliesCapability,query_signal_families,marsys://tool/L5/query_signal_families,L5,platform/src/lib/retrieval/registry/layers/L5_mimamsa/query_signal_families.ts
queryManifestationGrammarCapability,query_manifestation_grammar,marsys://tool/L5/query_manifestation_grammar,L5,platform/src/lib/retrieval/registry/layers/L5_mimamsa/query_manifestation_grammar.ts
queryPredictionsCapability,query_predictions,marsys://tool/L5/query_predictions,L5,platform/src/lib/retrieval/registry/layers/L5_mimamsa/query_predictions.ts
queryCalibrationCapability,query_calibration,marsys://tool/L5/query_calibration,L5,platform/src/lib/retrieval/registry/layers/L5_mimamsa/query_calibration.ts
queryLifeEventsCapability,lel_query,marsys://tool/L5/lel_query,L5,platform/src/lib/retrieval/registry/layers/L5_mimamsa/query_life_events.ts
queryMuhuratCapability,query_muhurat,marsys://tool/L4/query_muhurat,L4,platform/src/lib/retrieval/registry/layers/L4_phala/query_muhurat.ts
queryAuspiciousWindowsCapability,query_auspicious_windows,marsys://tool/L4/query_auspicious_windows,L4,platform/src/lib/retrieval/registry/layers/L4_phala/query_phala_calibration.ts
querySpilloverCascadesCapability,query_spillover_cascades,marsys://tool/L4/query_spillover_cascades,L4,platform/src/lib/retrieval/registry/layers/L4_phala/query_phala_calibration.ts
