asset_id,has_substeps
bg_class_lifetime_counts,f
bg_class_priors,f
bg_cohort,f
bg_compendium_index,f
bg_concordance,f
bg_dasha_systems,f
bg_dignity_reference,f
bg_doshas,f
bg_ephemeris,f
bg_ephemeris_engine,f
bg_formula_constants,f
bg_ghatana,f
bg_gochara_arcs,t
bg_gochara_citation_resolution,f
bg_kota_chakra_rings,f
bg_kp_sublord_division,f
bg_medical_mappings,f
bg_muhurta_lattice,f
bg_nakshatra,f
bg_nakshatra_medical,f
bg_ontology,f
bg_panchanga,f
bg_parihara_rules,f
bg_phaladeepika_latta,f
bg_prashna_rules,f
bg_reference,f
bg_remedies,f
bg_rules,f
bg_sarvatobhadra_grid,f
bg_sign_medical,f
bg_sky_calendar,f
bg_text_index,f
bg_texts,f
bg_transit_engine,f
bg_transit_rules,f
bg_vastu_directions,f
bg_vedha_malefic_scale,f
bg_vidhi_floors,f
bg_vidhi_primitives,f
bg_yogas,f
bo_anveshana,f
bo_arudha,f
bo_bimba,f
bo_cdlm_summary,f
bo_cgm_motifs,f
bo_cgm_paths,f
bo_chart_gestalt,f
bo_drishti,f
bo_karanajala,f
bo_laksana,f
bo_laksana_rerank,f
bo_nakshatra_semantic,f
bo_pramana_mapa,f
bo_pratijna,f
bo_samskara,f
bo_samvada,f
bo_sangati,f
bo_special_lagna,f
bo_sudarshana,f
bo_upaya,f
bo_vargottama_dhana,f
bo_yantra_mechanism,f
ga_ayurdaya,f
ga_condition,t
ga_dashas,t
ga_medical,t
ga_nakshatra,f
ga_panchanga,f
ga_positions,f
ga_prashna,t
ga_sade_sati,f
ga_sensitive,f
ga_sensitive_degree,f
ga_strength,f
ga_structural,f
ga_tajaka,f
ga_transit_anchors,t
ga_vargas,t
ga_vastu,t
ga_vichara,t
ga_yoga,t
ka_avadhi,f
ka_bhavishya_lekha,f
ka_dasha_kala,f
ka_gochara,t
ka_gochara_resonance,f
ka_gochara_sweep,t
ka_gochara_v3_century_materialize,t
ka_graha_sancara,f
ka_jivana_parva,f
ka_kala_darshana,f
ka_kalasutra,f
ka_kota_chakra,f
ka_kshetra,t
ka_moorti_nirnaya,f
ka_muhurta_seva,f
ka_sangam,f
ka_sudarshana_varsha,f
ka_taranga,f
ka_tithi_pravesha,f
ka_tulana,f
ka_vedha_gochara,f
ka_vighnakara,f
ka_yojaka,f
lel_events,f
mi_abhilekha,f
mi_adhilepa,f
mi_bhara,f
mi_bhavisya,f
mi_darshana,f
mi_gunanaka,f
mi_jivanaghatana,f
mi_kula,f
mi_pariksha,f
mi_pramana,f
mi_sambandha,f
mi_sankalpa,f
mi_seva,f
mi_vistara,f
ph_muhurta,f
ph_nimitta,f
ph_phaladesa,f
ph_pramana,f
ph_pratikara,f
ph_rectification,f
ph_sankrama,f
ph_sodhana,f
ph_suddha_sodhana,f
