asset_id	layer	layer_index	layer_name
bg_class_lifetime_counts	brahmagyan	L0	Brahmagyan
bg_class_priors	brahmagyan	L0	Brahmagyan
bg_cohort	brahmagyan	L0	Brahmagyan
bg_compendium_index	brahmagyan	L0	Brahmagyan
bg_concordance	brahmagyan	L0	Brahmagyan
bg_dasha_systems	brahmagyan	L0	Brahmagyan
bg_dignity_reference	brahmagyan	L0	Brahmagyan
bg_doshas	brahmagyan	L0	Brahmagyan
bg_ephemeris	brahmagyan	L0	Brahmagyan
bg_ephemeris_engine	brahmagyan	L0	Brahmagyan
bg_formula_constants	brahmagyan	L0	Brahmagyan
bg_ghatana	brahmagyan	L0	Brahmagyan
bg_gochara_arcs	brahmagyan	L0	Brahmagyan
bg_gochara_citation_resolution	brahmagyan	L0	Brahmagyan
bg_kota_chakra_rings	brahmagyan	L0	Brahmagyan
bg_kp_sublord_division	brahmagyan	L0	Brahmagyan
bg_medical_mappings	brahmagyan	L0	Brahmagyan
bg_muhurta_lattice	brahmagyan	L0	Brahmagyan
bg_nakshatra	brahmagyan	L0	Brahmagyan
bg_nakshatra_medical	brahmagyan	L0	Brahmagyan
bg_ontology	brahmagyan	L0	Brahmagyan
bg_panchanga	brahmagyan	L0	Brahmagyan
bg_parihara_rules	brahmagyan	L0	Brahmagyan
bg_phaladeepika_latta	brahmagyan	L0	Brahmagyan
bg_prashna_rules	brahmagyan	L0	Brahmagyan
bg_reference	brahmagyan	L0	Brahmagyan
bg_remedies	brahmagyan	L0	Brahmagyan
bg_rules	brahmagyan	L0	Brahmagyan
bg_sarvatobhadra_grid	brahmagyan	L0	Brahmagyan
bg_sign_medical	brahmagyan	0	Brahmagyan
bg_sky_calendar	brahmagyan	L0	Brahmagyan
bg_text_index	brahmagyan	L0	Brahmagyan
bg_texts	brahmagyan	L0	Brahmagyan
bg_transit_engine	brahmagyan	L0	Brahmagyan
bg_transit_rules	brahmagyan	L0	Brahmagyan
bg_vastu_directions	brahmagyan	L0	Brahmagyan
bg_vedha_malefic_scale	brahmagyan	L0	Brahmagyan
bg_vidhi_floors	brahmagyan	<NULL>	<NULL>
bg_vidhi_primitives	brahmagyan	<NULL>	<NULL>
bg_yogas	brahmagyan	L0	Brahmagyan
bo_anveshana	bodha	L2	Bodha
bo_arudha	bodha	<NULL>	<NULL>
bo_bimba	bodha	L2	Bodha
bo_cdlm_summary	bodha	<NULL>	<NULL>
bo_cgm_motifs	bodha	<NULL>	<NULL>
bo_cgm_paths	bodha	<NULL>	<NULL>
bo_chart_gestalt	bodha	<NULL>	<NULL>
bo_drishti	bodha	L2	Bodha
bo_karanajala	bodha	L2	Bodha
bo_laksana	bodha	L2	Bodha
bo_laksana_rerank	bodha	<NULL>	<NULL>
bo_nakshatra_semantic	bodha	<NULL>	<NULL>
bo_pramana_mapa	bodha	L2	Bodha
bo_pratijna	bodha	2	Bodha
bo_samskara	bodha	L2	Bodha
bo_samvada	bodha	L2	Bodha
bo_sangati	bodha	L2	Bodha
bo_special_lagna	bodha	<NULL>	<NULL>
bo_sudarshana	bodha	<NULL>	<NULL>
bo_upaya	bodha	L2	Bodha
bo_vargottama_dhana	bodha	<NULL>	<NULL>
bo_yantra_mechanism	bodha	<NULL>	<NULL>
ga_ayurdaya	ganita	1	Ganita
ga_condition	ganita	L1	Gaṇita
ga_dashas	ganita	L1	Gaṇita
ga_medical	ganita	L1	Gaṇita
ga_nakshatra	ganita	L1	Gaṇita
ga_panchanga	ganita	L1	Gaṇita
ga_positions	ganita	L1	Gaṇita
ga_prashna	ganita	L1	Gaṇita
ga_sade_sati	ganita	L1	Gaṇita
ga_sensitive	ganita	L1	Gaṇita
ga_sensitive_degree	ganita	1	Ganita
ga_strength	ganita	L1	Gaṇita
ga_structural	ganita	L1	Gaṇita
ga_tajaka	ganita	L1	Gaṇita
ga_transit_anchors	ganita	L1	Gaṇita
ga_vargas	ganita	L1	Gaṇita
ga_vastu	ganita	L1	Gaṇita
ga_vichara	ganita	<NULL>	<NULL>
ga_yoga	ganita	L1	Gaṇita
ka_avadhi	kala	3	Kala
ka_bhavishya_lekha	kala	L3	Kāla
ka_dasha_kala	kala	L3	Kāla
ka_gochara	kala	L3	Kāla
ka_gochara_resonance	kala	L3	Kāla
ka_gochara_sweep	kala	L3	Kāla
ka_gochara_v3_century_materialize	kala	L3	Kala
ka_graha_sancara	kala	L3	Kāla
ka_jivana_parva	kala	L3	Kāla
ka_kala_darshana	kala	L3	Kāla
ka_kalasutra	kala	L3	Kāla
ka_kota_chakra	kala	L3	Kāla
ka_kshetra	kala	L3	Kāla
ka_moorti_nirnaya	kala	L3	Kāla
ka_muhurta_seva	kala	L3	Kāla
ka_sangam	kala	L3	Kāla
ka_sudarshana_varsha	kala	L3	Kāla
ka_taranga	kala	3	Kala
ka_tithi_pravesha	kala	L3	Kāla
ka_tulana	kala	L3	Kāla
ka_vedha_gochara	kala	L3	Kāla
ka_vighnakara	kala	L3	Kāla
ka_yojaka	kala	L3	Kāla
lel_events	mimamsa	<NULL>	<NULL>
mi_abhilekha	mimamsa	L5	Mīmāṃsā
mi_adhilepa	mimamsa	L5	Mīmāṃsā
mi_bhara	mimamsa	L5	Mīmāṃsā
mi_bhavisya	mimamsa	L5	Mīmāṃsā
mi_darshana	mimamsa	L5	Mīmāṃsā
mi_gunanaka	mimamsa	L5	Mīmāṃsā
mi_jivanaghatana	mimamsa	L5	Mīmāṃsā
mi_kula	mimamsa	L5	Mīmāṃsā
mi_pariksha	mimamsa	L5	Mīmāṃsā
mi_pramana	mimamsa	L5	Mīmāṃsā
mi_sambandha	mimamsa	L5	Mīmāṃsā
mi_sankalpa	mimamsa	L5	Mīmāṃsā
mi_seva	mimamsa	L5	Mīmāṃsā
mi_vistara	mimamsa	L5	Mīmāṃsā
ph_muhurta	phala	L4	Phala
ph_nimitta	phala	L4	Phala
ph_phaladesa	phala	L4	Phala
ph_pramana	phala	L4	Phala
ph_pratikara	phala	L4	Phala
ph_rectification	phala	L4	Phala
ph_sankrama	phala	L4	Phala
ph_sodhana	phala	L4	Phala
ph_suddha_sodhana	phala	L4	Phala
