pattern_remedy_id,chart_id,ayanamsha_id,build_id,source_kind,source_id,remedy_theme,prescription_ids_array,theme_strength,cross_tradition_unanimity_score,verification_pass_status,citation_ref,citation_human,computed_at
fa4981b9-e10d-4872-b704-0560beb4c7e9,482012f1-710e-4a25-994a-93821f5871aa,lahiri_chitrapaksha,5b1ec47a-84ca-4b08-9251-996c06835b86,resonance,6d82705b-6e99-400f-9809-3f2d2dea5bf3,strengthen_Venus,"{bd012fb3-a638-49dd-89ce-3ebfdadc6909,07bde515-9191-4dcf-81bf-cee4de0d1b81,84b1b9f0-89e6-4809-af5e-c9c1e40933f5}",0.173195,0.25,single,bo_upaya:pattern_remedy_v1:resonance/6d82705b-6e99-400f-9809-3f2d2dea5bf3,Pattern remedy theme strengthen_Venus — 3 prescriptions,2026-08-21 02:31:40.29037+00
28bb7dd2-ff60-4513-8985-50c308a5ec39,482012f1-710e-4a25-994a-93821f5871aa,lahiri_chitrapaksha,5b1ec47a-84ca-4b08-9251-996c06835b86,resonance,13a1bbe0-8cde-4dec-9845-907c0137b8f6,strengthen_Mars,"{31b3e530-19b1-49e8-8181-0a35fcf25ba8,75a1ff28-5b47-40a2-b43e-2bb7ec40d5e0,45c9bd39-bb7c-4932-b04b-57a8ee23ac71}",0.140114,0.25,single,bo_upaya:pattern_remedy_v1:resonance/13a1bbe0-8cde-4dec-9845-907c0137b8f6,Pattern remedy theme strengthen_Mars — 3 prescriptions,2026-08-21 02:31:40.29037+00
1fb04eb7-a9e4-4b7b-8920-3719e5a8854a,482012f1-710e-4a25-994a-93821f5871aa,lahiri_chitrapaksha,5b1ec47a-84ca-4b08-9251-996c06835b86,resonance,972d2c05-616c-471e-b3f9-152e94bb572c,strengthen_Ketu,"{af0abfc8-f27d-4bd4-b40d-8c007581e825,9cf83613-4e92-4d1b-8447-faab231479a8,83461231-cc41-460d-800f-860b9987816c}",0.138642,0.25,single,bo_upaya:pattern_remedy_v1:resonance/972d2c05-616c-471e-b3f9-152e94bb572c,Pattern remedy theme strengthen_Ketu — 3 prescriptions,2026-08-21 02:31:40.29037+00
6e81360f-ddff-4471-931a-96ff2b79ce9e,482012f1-710e-4a25-994a-93821f5871aa,lahiri_chitrapaksha,5b1ec47a-84ca-4b08-9251-996c06835b86,resonance,1449a0cf-a491-423b-98ec-e84f026cb1f9,strengthen_Rahu,"{c8b96c4e-6840-42b1-95ee-67efcc5dcdd9,ec04f399-f919-468c-8545-cfb51867da8e,999e2cdc-4a9a-4c95-a1f8-047b01d37674}",0.1261,0.25,single,bo_upaya:pattern_remedy_v1:resonance/1449a0cf-a491-423b-98ec-e84f026cb1f9,Pattern remedy theme strengthen_Rahu — 3 prescriptions,2026-08-21 02:31:40.29037+00
bf41b68f-b501-45b4-a53d-d8b3b9a769b3,482012f1-710e-4a25-994a-93821f5871aa,lahiri_chitrapaksha,5b1ec47a-84ca-4b08-9251-996c06835b86,resonance,7dd551a4-359c-4b07-b0a9-e452a27af6fe,strengthen_Moon,"{50763df0-6334-4cc5-b35d-2d897210f011,3787bd94-d1b2-40c2-b636-e4525ca487c3,ea062825-da75-40e6-9c0e-8f697711c186}",0.116022,0.25,single,bo_upaya:pattern_remedy_v1:resonance/7dd551a4-359c-4b07-b0a9-e452a27af6fe,Pattern remedy theme strengthen_Moon — 3 prescriptions,2026-08-21 02:31:40.29037+00
96393daf-6546-41db-8462-3e7f2ee0e263,482012f1-710e-4a25-994a-93821f5871aa,lahiri_chitrapaksha,5b1ec47a-84ca-4b08-9251-996c06835b86,resonance,cabb2e10-6dc4-47fa-ab15-e7bf1f699ae0,strengthen_Jupiter,"{d15f4e04-ab4b-437d-8148-b4ea6df5546a,597aa990-f78c-46b1-8a11-1a574f0f7bf3,16d3f941-3f53-4540-ad86-4a7ae1b3209b}",0.11466,0.25,single,bo_upaya:pattern_remedy_v1:resonance/cabb2e10-6dc4-47fa-ab15-e7bf1f699ae0,Pattern remedy theme strengthen_Jupiter — 3 prescriptions,2026-08-21 02:31:40.29037+00
db0eda8d-d239-42bb-9d29-317218b0e791,482012f1-710e-4a25-994a-93821f5871aa,lahiri_chitrapaksha,5b1ec47a-84ca-4b08-9251-996c06835b86,resonance,08c7e256-bd89-4990-bb87-e6f134b0591c,strengthen_Sun,"{3f318f04-8c35-4c08-a92c-b9d758f0214d,0f20fa14-7b2c-44ab-bb66-c22a143a2877,322d6a5b-dda0-44d6-bddc-58a02d88a49d}",0.097822,0.25,single,bo_upaya:pattern_remedy_v1:resonance/08c7e256-bd89-4990-bb87-e6f134b0591c,Pattern remedy theme strengthen_Sun — 3 prescriptions,2026-08-21 02:31:40.29037+00
169f6228-796c-4161-9403-d9d22dd542b4,482012f1-710e-4a25-994a-93821f5871aa,lahiri_chitrapaksha,5b1ec47a-84ca-4b08-9251-996c06835b86,resonance,f3c0cd67-6f9c-47b2-b37c-be005fcfe76c,strengthen_Saturn,"{62433dfa-e436-4ed7-9974-46f40bdb642c,8638bc94-949b-49db-a306-9928d82c5779,482f271c-8adb-4ba9-853e-bbaf87782392}",0.094032,0.25,single,bo_upaya:pattern_remedy_v1:resonance/f3c0cd67-6f9c-47b2-b37c-be005fcfe76c,Pattern remedy theme strengthen_Saturn — 3 prescriptions,2026-08-21 02:31:40.29037+00
710052b5-42f8-4905-b2f8-b01878544383,482012f1-710e-4a25-994a-93821f5871aa,lahiri_chitrapaksha,5b1ec47a-84ca-4b08-9251-996c06835b86,resonance,3b440d74-b4f2-4bf0-bfc8-860c1b51bc7e,strengthen_Mercury,"{b61e9e4a-fef5-43b2-b464-0a4d82fb97a8,df9b8ad2-3ed5-451d-8982-e194cc9a2997,861a6586-9617-4b1f-b9e3-23e07d4a18d4}",0.077022,0.25,single,bo_upaya:pattern_remedy_v1:resonance/3b440d74-b4f2-4bf0-bfc8-860c1b51bc7e,Pattern remedy theme strengthen_Mercury — 3 prescriptions,2026-08-21 02:31:40.29037+00
b08fa3f0-52a2-40b2-a4ef-461f20c67199,482012f1-710e-4a25-994a-93821f5871aa,raman,5b1ec47a-84ca-4b08-9251-996c06835b86,resonance,d827490d-b7ae-4b75-811d-bc8539069d7d,strengthen_Venus,"{40289df6-b9d1-4d77-b9ed-e0a3ea8c2b55,830ce8d8-4771-4cd4-b181-c3b3a40bc9e1,f6d29a6d-6170-452f-8a53-18f419253bb0}",0.203261,0.25,single,bo_upaya:pattern_remedy_v1:resonance/d827490d-b7ae-4b75-811d-bc8539069d7d,Pattern remedy theme strengthen_Venus — 3 prescriptions,2026-08-21 02:31:40.29037+00
