chart_id,match_id,prediction_id,event_id,score_timing,score_magnitude,score_domain,score_falsifier,score_manifestation,manifestation_channel,composite_verdict,composite_score,base_rate_adjusted_skill,evidence_admissibility,n_for_stratum,leakage_status,scoring_formula_version,scored_at,base_rate,brier_vs_null
482012f1-710e-4a25-994a-93821f5871aa,pred_23bd38d3-6e61-4057-b728-1d91be93100c_021e49f5-9c6a-5e0e-ad6c-84c8ea2ad83f,pred_23bd38d3-6e61-4057-b728-1d91be93100c,021e49f5-9c6a-5e0e-ad6c-84c8ea2ad83f,0.3772,0.5,1,1,0.5,,CONFIRMED,0.6813,,clean,1,clean,mi_pramana_v2.0,2026-08-13 01:16:30.152142+00,0.1,-0.1286
482012f1-710e-4a25-994a-93821f5871aa,pred_23bd38d3-6e61-4057-b728-1d91be93100c_021e49f5-9c6a-5e0e-ad6c-84c8ea2ad83f-corr-2022-07-14,pred_23bd38d3-6e61-4057-b728-1d91be93100c,021e49f5-9c6a-5e0e-ad6c-84c8ea2ad83f-corr-2022-07-14,0.1696,0.5,1,1,0.5,,PARTIAL,0.6121,,clean,1,clean,mi_pramana_v2.0,2026-08-13 01:16:30.152142+00,0.1,-3.163
482012f1-710e-4a25-994a-93821f5871aa,pred_23bd38d3-6e61-4057-b728-1d91be93100c_661c8535-5906-5333-8b38-e14305bddad6,pred_23bd38d3-6e61-4057-b728-1d91be93100c,661c8535-5906-5333-8b38-e14305bddad6,0.9866,0.5,0,1,0.5,,PARTIAL,0.6066,,clean,1,clean,mi_pramana_v2.0,2026-08-13 01:16:30.152142+00,0.1,-3.0891
482012f1-710e-4a25-994a-93821f5871aa,pred_23bd38d3-6e61-4057-b728-1d91be93100c_836bb274-6a6f-5c29-a298-f3c476197b8a,pred_23bd38d3-6e61-4057-b728-1d91be93100c,836bb274-6a6f-5c29-a298-f3c476197b8a,0.5312,0.5,0,1,0.5,,PARTIAL,0.4549,,clean,1,clean,mi_pramana_v2.0,2026-08-13 01:16:30.152142+00,0.1,-1.2989
482012f1-710e-4a25-994a-93821f5871aa,pred_23bd38d3-6e61-4057-b728-1d91be93100c_86cbb042-8c3b-54e0-bf79-8f51b5850c13,pred_23bd38d3-6e61-4057-b728-1d91be93100c,86cbb042-8c3b-54e0-bf79-8f51b5850c13,0.1406,0.5,1,1,0.5,,PARTIAL,0.6024,,clean,1,clean,mi_pramana_v2.0,2026-08-13 01:16:30.152142+00,0.1,-3.0325
482012f1-710e-4a25-994a-93821f5871aa,pred_23bd38d3-6e61-4057-b728-1d91be93100c_d506f3e6-6188-5327-8920-d3896e630f08,pred_23bd38d3-6e61-4057-b728-1d91be93100c,d506f3e6-6188-5327-8920-d3896e630f08,0.9196,0.5,0,1,0.5,,PARTIAL,0.5843,,clean,1,clean,mi_pramana_v2.0,2026-08-13 01:16:30.152142+00,0.1,-2.7937
482012f1-710e-4a25-994a-93821f5871aa,pred_30fe8756-3341-40fc-94fd-a2e1cc1b395d_153d920e-640d-598c-9380-795a5d4efa63,pred_30fe8756-3341-40fc-94fd-a2e1cc1b395d,153d920e-640d-598c-9380-795a5d4efa63,0.7938,0.5,1,1,0.5,,UNRESOLVED,0.8201,,clean,1,clean,mi_pramana_v2.0,2026-08-13 01:16:30.152142+00,0.1,-6.4737
482012f1-710e-4a25-994a-93821f5871aa,pred_30fe8756-3341-40fc-94fd-a2e1cc1b395d_1f9c6775-30c2-5f92-b1a5-24512f5681a6,pred_30fe8756-3341-40fc-94fd-a2e1cc1b395d,1f9c6775-30c2-5f92-b1a5-24512f5681a6,0.8562,0.5,0,1,0.5,,UNRESOLVED,0.5632,,clean,1,clean,mi_pramana_v2.0,2026-08-13 01:16:30.152142+00,0.1,-2.524
482012f1-710e-4a25-994a-93821f5871aa,pred_30fe8756-3341-40fc-94fd-a2e1cc1b395d_275b0c18-a159-5560-95f7-2a6cfbec58c4,pred_30fe8756-3341-40fc-94fd-a2e1cc1b395d,275b0c18-a159-5560-95f7-2a6cfbec58c4,0.1739,0.5,0,1,0.5,,UNRESOLVED,0.3357,,clean,1,clean,mi_pramana_v2.0,2026-08-13 01:16:30.152142+00,0.1,-0.2525
482012f1-710e-4a25-994a-93821f5871aa,pred_30fe8756-3341-40fc-94fd-a2e1cc1b395d_2bfb5b17-6901-5d15-ba80-5f0f1d5611f0,pred_30fe8756-3341-40fc-94fd-a2e1cc1b395d,2bfb5b17-6901-5d15-ba80-5f0f1d5611f0,0.6511,0.5,0,1,0.5,,UNRESOLVED,0.4948,,clean,1,clean,mi_pramana_v2.0,2026-08-13 01:16:30.152142+00,0.1,-1.7203
482012f1-710e-4a25-994a-93821f5871aa,pred_30fe8756-3341-40fc-94fd-a2e1cc1b395d_3ea3a2fc-3568-56a9-963b-57c7e7b4755c,pred_30fe8756-3341-40fc-94fd-a2e1cc1b395d,3ea3a2fc-3568-56a9-963b-57c7e7b4755c,0.5151,0.5,0,1,0.5,,UNRESOLVED,0.4495,,clean,1,clean,mi_pramana_v2.0,2026-08-13 01:16:30.152142+00,0.1,-1.2446
482012f1-710e-4a25-994a-93821f5871aa,pred_30fe8756-3341-40fc-94fd-a2e1cc1b395d_4018cc05-6f8f-51c4-9ffc-3c1de800dc72,pred_30fe8756-3341-40fc-94fd-a2e1cc1b395d,4018cc05-6f8f-51c4-9ffc-3c1de800dc72,0.2408,0.5,0,1,0.5,,UNRESOLVED,0.358,,clean,1,clean,mi_pramana_v2.0,2026-08-13 01:16:30.152142+00,0.1,-0.4244
482012f1-710e-4a25-994a-93821f5871aa,pred_30fe8756-3341-40fc-94fd-a2e1cc1b395d_5278d97c-e769-529a-b0c2-be1e965c2d6b,pred_30fe8756-3341-40fc-94fd-a2e1cc1b395d,5278d97c-e769-529a-b0c2-be1e965c2d6b,0.9075,0.5,0,1,0.5,,UNRESOLVED,0.5803,,clean,1,clean,mi_pramana_v2.0,2026-08-13 01:16:30.152142+00,0.1,-2.7412
482012f1-710e-4a25-994a-93821f5871aa,pred_30fe8756-3341-40fc-94fd-a2e1cc1b395d_732a4119-a333-5ce5-afbf-082453e1f6d5,pred_30fe8756-3341-40fc-94fd-a2e1cc1b395d,732a4119-a333-5ce5-afbf-082453e1f6d5,0.8361,0.5,1,1,0.5,,UNRESOLVED,0.8343,,clean,1,clean,mi_pramana_v2.0,2026-08-13 01:16:30.152142+00,0.1,-6.7333
482012f1-710e-4a25-994a-93821f5871aa,pred_30fe8756-3341-40fc-94fd-a2e1cc1b395d_acb209c7-8107-53e7-b6ea-b8596e0f07cb,pred_30fe8756-3341-40fc-94fd-a2e1cc1b395d,acb209c7-8107-53e7-b6ea-b8596e0f07cb,0.2096,0.5,0,1,0.5,,UNRESOLVED,0.3476,,clean,1,clean,mi_pramana_v2.0,2026-08-13 01:16:30.152142+00,0.1,-0.3428
482012f1-710e-4a25-994a-93821f5871aa,pred_5f64e035-3af3-4446-863e-cc0a9b64d3cb_5278d97c-e769-529a-b0c2-be1e965c2d6b,pred_5f64e035-3af3-4446-863e-cc0a9b64d3cb,5278d97c-e769-529a-b0c2-be1e965c2d6b,0.338,0.5,0,1,0.5,,UNRESOLVED,0.3904,,clean,1,clean,mi_pramana_v2.0,2026-08-13 01:16:30.152142+00,0.1,-0.6937
482012f1-710e-4a25-994a-93821f5871aa,pred_7463abe7-c435-494e-83b9-4ce3e7385925_3e96c6da-3ad6-5329-a40b-0b9240a1cbdb,pred_7463abe7-c435-494e-83b9-4ce3e7385925,3e96c6da-3ad6-5329-a40b-0b9240a1cbdb,0.0647,0.5,0,1,0.5,,REFUTED,0.2994,,clean,1,clean,mi_pramana_v2.0,2026-08-13 01:16:30.152142+00,0.1,0.0043
482012f1-710e-4a25-994a-93821f5871aa,pred_7463abe7-c435-494e-83b9-4ce3e7385925_64c475da-5248-5332-9127-9331fae79f23,pred_7463abe7-c435-494e-83b9-4ce3e7385925,64c475da-5248-5332-9127-9331fae79f23,0.0647,0.5,0,1,0.5,,REFUTED,0.2994,,clean,1,clean,mi_pramana_v2.0,2026-08-13 01:16:30.152142+00,0.1,0.0043
482012f1-710e-4a25-994a-93821f5871aa,pred_8674627d-134c-4302-8253-21ee66313a0a_153d920e-640d-598c-9380-795a5d4efa63,pred_8674627d-134c-4302-8253-21ee66313a0a,153d920e-640d-598c-9380-795a5d4efa63,0.8476,0.5,0,1,0.5,,UNRESOLVED,0.5603,,clean,1,clean,mi_pramana_v2.0,2026-08-13 01:16:30.152142+00,0.1,-2.4885
482012f1-710e-4a25-994a-93821f5871aa,pred_8674627d-134c-4302-8253-21ee66313a0a_1f9c6775-30c2-5f92-b1a5-24512f5681a6,pred_8674627d-134c-4302-8253-21ee66313a0a,1f9c6775-30c2-5f92-b1a5-24512f5681a6,0.9972,0.5,0,1,0.5,,UNRESOLVED,0.6102,,clean,1,clean,mi_pramana_v2.0,2026-08-13 01:16:30.152142+00,0.1,-3.137
