chart_id,event_id,shaped_predictor,shaped_predictor_refs,disclosure_timing,disclosure_date,event_date,domain_primary,domain_secondary,event_magnitude,held_out,admissible_clean,admissibility_reason,partition_seed_version,lel_version,provenance_formula_ver,created_at,lel_file_sha,lel_source,event_class_id
482012f1-710e-4a25-994a-93821f5871aa,021e49f5-9c6a-5e0e-ad6c-84c8ea2ad83f,f,,unknown,,2022-10-15,relationship,,,f,t,"clean: not a predictor, not post-hoc undated, has event_date",v1_md5_mod10,v1.7,mi_jivanaghatana_v2.0,2026-08-08 00:17:57.828719+00,,db,
482012f1-710e-4a25-994a-93821f5871aa,021e49f5-9c6a-5e0e-ad6c-84c8ea2ad83f-corr-2022-07-14,f,,unknown,,2022-07-14,relationship,,,f,t,"clean: not a predictor, not post-hoc undated, has event_date",v1_md5_mod10,v1.7,mi_jivanaghatana_v2.0,2026-08-08 00:17:57.828719+00,,db,
482012f1-710e-4a25-994a-93821f5871aa,0d03e02a-e619-52b5-8a78-8f26e13ba125,f,,unknown,,1993-07-01,creative,,,f,t,"clean: not a predictor, not post-hoc undated, has event_date",v1_md5_mod10,v1.7,mi_jivanaghatana_v2.0,2026-08-08 00:17:57.828719+00,,db,
482012f1-710e-4a25-994a-93821f5871aa,123eee97-8885-5d50-b0f1-94281f8f2d49,f,,unknown,,2002-07-01,psychological,,,f,t,"clean: not a predictor, not post-hoc undated, has event_date",v1_md5_mod10,v1.7,mi_jivanaghatana_v2.0,2026-08-08 00:17:57.828719+00,,db,
482012f1-710e-4a25-994a-93821f5871aa,132b61e0-3409-53fd-bb1a-80b4b6bdcc67,f,,unknown,,2010-07-01,spiritual,,,f,t,"clean: not a predictor, not post-hoc undated, has event_date",v1_md5_mod10,v1.7,mi_jivanaghatana_v2.0,2026-08-08 00:17:57.828719+00,,db,
482012f1-710e-4a25-994a-93821f5871aa,153d920e-640d-598c-9380-795a5d4efa63,f,,unknown,,2026-03-20,career,,,f,t,"clean: not a predictor, not post-hoc undated, has event_date",v1_md5_mod10,v1.7,mi_jivanaghatana_v2.0,2026-08-08 00:17:57.828719+00,,db,
482012f1-710e-4a25-994a-93821f5871aa,1dc207bc-a85e-5383-b39d-39be4629a582,f,,unknown,,2009-06-15,loss,,,f,t,"clean: not a predictor, not post-hoc undated, has event_date",v1_md5_mod10,v1.7,mi_jivanaghatana_v2.0,2026-08-08 00:17:57.828719+00,,db,
482012f1-710e-4a25-994a-93821f5871aa,1f9c6775-30c2-5f92-b1a5-24512f5681a6,f,,unknown,,2026-04-17,relationship,,,f,t,"clean: not a predictor, not post-hoc undated, has event_date",v1_md5_mod10,v1.7,mi_jivanaghatana_v2.0,2026-08-08 00:17:57.828719+00,,db,
482012f1-710e-4a25-994a-93821f5871aa,25a0f2ec-98fc-5bc9-a6e7-3916f35149a3,f,,unknown,,2022-01-03,family,,,t,t,"clean: not a predictor, not post-hoc undated, has event_date",v1_md5_mod10,v1.7,mi_jivanaghatana_v2.0,2026-08-08 00:17:57.828719+00,,db,
482012f1-710e-4a25-994a-93821f5871aa,275b0c18-a159-5560-95f7-2a6cfbec58c4,f,,unknown,,2025-06-15,spiritual,,,f,t,"clean: not a predictor, not post-hoc undated, has event_date",v1_md5_mod10,v1.7,mi_jivanaghatana_v2.0,2026-08-08 00:17:57.828719+00,,db,
482012f1-710e-4a25-994a-93821f5871aa,2bfb5b17-6901-5d15-ba80-5f0f1d5611f0,f,,unknown,,2026-01-15,other,,,f,t,"clean: not a predictor, not post-hoc undated, has event_date",v1_md5_mod10,v1.7,mi_jivanaghatana_v2.0,2026-08-08 00:17:57.828719+00,,db,
482012f1-710e-4a25-994a-93821f5871aa,359944e3-908f-5eb0-ba38-6696bbbefbe6,f,,unknown,,2001-03-15,education,,,t,t,"clean: not a predictor, not post-hoc undated, has event_date",v1_md5_mod10,v1.7,mi_jivanaghatana_v2.0,2026-08-08 00:17:57.828719+00,,db,
482012f1-710e-4a25-994a-93821f5871aa,39f8395f-dfa6-5deb-9d3d-e4881c905e29,f,,unknown,,2000-06-01,education,,,t,t,"clean: not a predictor, not post-hoc undated, has event_date",v1_md5_mod10,v1.7,mi_jivanaghatana_v2.0,2026-08-08 00:17:57.828719+00,,db,
482012f1-710e-4a25-994a-93821f5871aa,3a37fa76-cfc1-599b-bbdf-97cff784f5ac,f,,unknown,,1998-02-16,relationship,,,f,t,"clean: not a predictor, not post-hoc undated, has event_date",v1_md5_mod10,v1.7,mi_jivanaghatana_v2.0,2026-08-08 00:17:57.828719+00,,db,
482012f1-710e-4a25-994a-93821f5871aa,3e96c6da-3ad6-5329-a40b-0b9240a1cbdb,f,,unknown,,1995-07-01,psychological,,,f,t,"clean: not a predictor, not post-hoc undated, has event_date",v1_md5_mod10,v1.7,mi_jivanaghatana_v2.0,2026-08-08 00:17:57.828719+00,,db,
482012f1-710e-4a25-994a-93821f5871aa,3e96c6da-3ad6-5329-a40b-0b9240a1cbdb-corr-congenital,f,,unknown,,1984-02-05,psychological,,,f,t,"clean: not a predictor, not post-hoc undated, has event_date",v1_md5_mod10,v1.7,mi_jivanaghatana_v2.0,2026-08-08 00:17:57.828719+00,,db,
482012f1-710e-4a25-994a-93821f5871aa,3ea3a2fc-3568-56a9-963b-57c7e7b4755c,f,,unknown,,2025-11-15,spiritual,,,f,t,"clean: not a predictor, not post-hoc undated, has event_date",v1_md5_mod10,v1.7,mi_jivanaghatana_v2.0,2026-08-08 00:17:57.828719+00,,db,
482012f1-710e-4a25-994a-93821f5871aa,4018cc05-6f8f-51c4-9ffc-3c1de800dc72,f,,unknown,,2025-07-15,finance,,,f,t,"clean: not a predictor, not post-hoc undated, has event_date",v1_md5_mod10,v1.7,mi_jivanaghatana_v2.0,2026-08-08 00:17:57.828719+00,,db,
482012f1-710e-4a25-994a-93821f5871aa,45ba996d-5923-5570-8055-8cbf4a470636,f,,unknown,,2004-01-15,relationship,,,t,t,"clean: not a predictor, not post-hoc undated, has event_date",v1_md5_mod10,v1.7,mi_jivanaghatana_v2.0,2026-08-08 00:17:57.828719+00,,db,
482012f1-710e-4a25-994a-93821f5871aa,4a1b1dc0-df38-56d8-a2c8-0383bb2acc7c,f,,unknown,,2003-06-15,education,,,f,t,"clean: not a predictor, not post-hoc undated, has event_date",v1_md5_mod10,v1.7,mi_jivanaghatana_v2.0,2026-08-08 00:17:57.828719+00,,db,
482012f1-710e-4a25-994a-93821f5871aa,4e09e1e1-7925-5675-9af8-74e8eea6fe67,f,,unknown,,2007-06-15,health,,,f,t,"clean: not a predictor, not post-hoc undated, has event_date",v1_md5_mod10,v1.7,mi_jivanaghatana_v2.0,2026-08-08 00:17:57.828719+00,,db,
482012f1-710e-4a25-994a-93821f5871aa,4e96f4b9-fe3b-5b40-bdb3-c60e3024abfa,f,,unknown,,2011-01-15,education,,,f,t,"clean: not a predictor, not post-hoc undated, has event_date",v1_md5_mod10,v1.7,mi_jivanaghatana_v2.0,2026-08-08 00:17:57.828719+00,,db,
482012f1-710e-4a25-994a-93821f5871aa,5278d97c-e769-529a-b0c2-be1e965c2d6b,f,,unknown,,2026-08-01,travel_event,,,f,t,"clean: not a predictor, not post-hoc undated, has event_date",v1_md5_mod10,v1.7,mi_jivanaghatana_v2.0,2026-08-08 00:17:57.828719+00,,db,
482012f1-710e-4a25-994a-93821f5871aa,56a1222d-8c88-5445-b2a2-1fd89d470719,f,,unknown,,2015-07-01,spiritual,,,f,t,"clean: not a predictor, not post-hoc undated, has event_date",v1_md5_mod10,v1.7,mi_jivanaghatana_v2.0,2026-08-08 00:17:57.828719+00,,db,
482012f1-710e-4a25-994a-93821f5871aa,56a1222d-8c88-5445-b2a2-1fd89d470719-corr-2021-04,f,,unknown,,2021-04-01,spiritual,,,f,t,"clean: not a predictor, not post-hoc undated, has event_date",v1_md5_mod10,v1.7,mi_jivanaghatana_v2.0,2026-08-08 00:17:57.828719+00,,db,
482012f1-710e-4a25-994a-93821f5871aa,5d039007-0244-58c6-ad39-152c179c6ac8,f,,unknown,,1984-02-05,other,,,t,t,"clean: not a predictor, not post-hoc undated, has event_date",v1_md5_mod10,v1.7,mi_jivanaghatana_v2.0,2026-08-08 00:17:57.828719+00,,db,
482012f1-710e-4a25-994a-93821f5871aa,62f0460d-0cf1-5eab-bedc-47ecfcb04657,f,,unknown,,2002-07-01,spiritual,,,f,t,"clean: not a predictor, not post-hoc undated, has event_date",v1_md5_mod10,v1.7,mi_jivanaghatana_v2.0,2026-08-08 00:17:57.828719+00,,db,
482012f1-710e-4a25-994a-93821f5871aa,63e90113-eb35-5be4-9bce-1da7eda7d82d,f,,unknown,,2024-07-01,spiritual,,,t,t,"clean: not a predictor, not post-hoc undated, has event_date",v1_md5_mod10,v1.7,mi_jivanaghatana_v2.0,2026-08-08 00:17:57.828719+00,,db,
482012f1-710e-4a25-994a-93821f5871aa,64c475da-5248-5332-9127-9331fae79f23,f,,unknown,,1995-07-01,health,,,f,t,"clean: not a predictor, not post-hoc undated, has event_date",v1_md5_mod10,v1.7,mi_jivanaghatana_v2.0,2026-08-08 00:17:57.828719+00,,db,
482012f1-710e-4a25-994a-93821f5871aa,661c8535-5906-5333-8b38-e14305bddad6,f,,unknown,,2023-07-15,career,,,f,t,"clean: not a predictor, not post-hoc undated, has event_date",v1_md5_mod10,v1.7,mi_jivanaghatana_v2.0,2026-08-08 00:17:57.828719+00,,db,
482012f1-710e-4a25-994a-93821f5871aa,6f5ee9cb-8b35-5da9-a601-30430e8ad7d9,f,,unknown,,2013-05-15,career,,,f,t,"clean: not a predictor, not post-hoc undated, has event_date",v1_md5_mod10,v1.7,mi_jivanaghatana_v2.0,2026-08-08 00:17:57.828719+00,,db,
482012f1-710e-4a25-994a-93821f5871aa,71af4f61-3efc-557b-949a-d855845a5ca5,f,,unknown,,2007-06-15,education,,,f,t,"clean: not a predictor, not post-hoc undated, has event_date",v1_md5_mod10,v1.7,mi_jivanaghatana_v2.0,2026-08-08 00:17:57.828719+00,,db,
482012f1-710e-4a25-994a-93821f5871aa,72fad18c-ad30-5f46-9418-c2ed28c4d9ac,f,,unknown,,2013-07-01,family,,,f,t,"clean: not a predictor, not post-hoc undated, has event_date",v1_md5_mod10,v1.7,mi_jivanaghatana_v2.0,2026-08-08 00:17:57.828719+00,,db,
482012f1-710e-4a25-994a-93821f5871aa,732a4119-a333-5ce5-afbf-082453e1f6d5,f,,unknown,,2026-04-08,career,,,f,t,"clean: not a predictor, not post-hoc undated, has event_date",v1_md5_mod10,v1.7,mi_jivanaghatana_v2.0,2026-08-08 00:17:57.828719+00,,db,
482012f1-710e-4a25-994a-93821f5871aa,74e527bb-1b22-51a8-bafb-8d4d7d80ae1d,f,,unknown,,2021-07-01,career,,,f,t,"clean: not a predictor, not post-hoc undated, has event_date",v1_md5_mod10,v1.7,mi_jivanaghatana_v2.0,2026-08-08 00:17:57.828719+00,,db,
482012f1-710e-4a25-994a-93821f5871aa,7f29458f-db56-5a4b-a564-6a4754d0821d,f,,unknown,,2023-05-15,residential+travel,,,t,t,"clean: not a predictor, not post-hoc undated, has event_date",v1_md5_mod10,v1.7,mi_jivanaghatana_v2.0,2026-08-08 00:17:57.828719+00,,db,
482012f1-710e-4a25-994a-93821f5871aa,836bb274-6a6f-5c29-a298-f3c476197b8a,f,,unknown,,2024-02-16,career,,,f,t,"clean: not a predictor, not post-hoc undated, has event_date",v1_md5_mod10,v1.7,mi_jivanaghatana_v2.0,2026-08-08 00:17:57.828719+00,,db,
482012f1-710e-4a25-994a-93821f5871aa,852d1420-e733-582b-a2ae-f7de33b8d38e,f,,unknown,,2012-09-15,creative,,,f,t,"clean: not a predictor, not post-hoc undated, has event_date",v1_md5_mod10,v1.7,mi_jivanaghatana_v2.0,2026-08-08 00:17:57.828719+00,,db,
482012f1-710e-4a25-994a-93821f5871aa,8573c0ca-9fc5-52a0-8309-f1b324a51d4a,f,,unknown,,2007-09-01,health,,,t,t,"clean: not a predictor, not post-hoc undated, has event_date",v1_md5_mod10,v1.7,mi_jivanaghatana_v2.0,2026-08-08 00:17:57.828719+00,,db,
482012f1-710e-4a25-994a-93821f5871aa,8573c0ca-9fc5-52a0-8309-f1b324a51d4a-corr-day-lock,f,,unknown,,2007-06-14,health,,,t,t,"clean: not a predictor, not post-hoc undated, has event_date",v1_md5_mod10,v1.7,mi_jivanaghatana_v2.0,2026-08-08 00:17:57.828719+00,,db,
482012f1-710e-4a25-994a-93821f5871aa,86cbb042-8c3b-54e0-bf79-8f51b5850c13,f,,unknown,,2022-07-01,relationship,,,f,t,"clean: not a predictor, not post-hoc undated, has event_date",v1_md5_mod10,v1.7,mi_jivanaghatana_v2.0,2026-08-08 00:17:57.828719+00,,db,
482012f1-710e-4a25-994a-93821f5871aa,928a1f56-0940-5428-a35a-8591f84fd5b4,f,,unknown,,2019-05-15,residential+travel,,,f,t,"clean: not a predictor, not post-hoc undated, has event_date",v1_md5_mod10,v1.7,mi_jivanaghatana_v2.0,2026-08-08 00:17:57.828719+00,,db,
482012f1-710e-4a25-994a-93821f5871aa,928a1f56-0940-5428-a35a-8591f84fd5b4-fs,f,,unknown,,2019-05-15,residential+travel,,,f,t,"clean: not a predictor, not post-hoc undated, has event_date",v1_md5_mod10,v1.7,mi_jivanaghatana_v2.0,2026-08-08 00:17:57.828719+00,,db,
482012f1-710e-4a25-994a-93821f5871aa,95138517-2d23-51a6-b13b-71801e806a11,f,,unknown,,2011-06-15,education,,,f,t,"clean: not a predictor, not post-hoc undated, has event_date",v1_md5_mod10,v1.7,mi_jivanaghatana_v2.0,2026-08-08 00:17:57.828719+00,,db,
