chart_id,prediction_id,channel_id,domain,source,citation_ref,is_literal,frozen_at
482012f1-710e-4a25-994a-93821f5871aa,pred_024d552a-5466-49ea-af7f-8659d3e25c1b,ch_spirituality_verbal,spirituality,phala_anchors,"{""anchor_id"": ""024d552a-5466-49ea-af7f-8659d3e25c1b""}",t,2026-08-13 01:16:29.658705+00
482012f1-710e-4a25-994a-93821f5871aa,pred_02ef46ca-a364-4a31-8e97-22443ae4cb39,ch_career_verbal,career,phala_anchors,"{""anchor_id"": ""02ef46ca-a364-4a31-8e97-22443ae4cb39""}",t,2026-08-13 01:16:29.658705+00
482012f1-710e-4a25-994a-93821f5871aa,pred_040d119f-2bb1-4270-bcba-793419dccf01,ch_transition_verbal,transition,phala_anchors,"{""anchor_id"": ""040d119f-2bb1-4270-bcba-793419dccf01""}",t,2026-08-13 01:16:29.658705+00
482012f1-710e-4a25-994a-93821f5871aa,pred_045be9a8-10c1-4783-932d-d399f810dba0,ch_transition_verbal,transition,phala_anchors,"{""anchor_id"": ""045be9a8-10c1-4783-932d-d399f810dba0""}",t,2026-08-13 01:16:29.658705+00
482012f1-710e-4a25-994a-93821f5871aa,pred_057a97fa-27c1-461a-9fdd-7ed9d5ad4b83,ch_health_verbal,health,phala_anchors,"{""anchor_id"": ""057a97fa-27c1-461a-9fdd-7ed9d5ad4b83""}",t,2026-08-13 01:16:29.658705+00
482012f1-710e-4a25-994a-93821f5871aa,pred_05f1a8db-d6c8-4121-9fbf-f86ecb7e8950,ch_wealth_verbal,wealth,phala_anchors,"{""anchor_id"": ""05f1a8db-d6c8-4121-9fbf-f86ecb7e8950""}",t,2026-08-13 01:16:29.658705+00
482012f1-710e-4a25-994a-93821f5871aa,pred_066cf889-3b38-419f-813a-ecaa14054d07,ch_transition_verbal,transition,phala_anchors,"{""anchor_id"": ""066cf889-3b38-419f-813a-ecaa14054d07""}",t,2026-08-13 01:16:29.658705+00
482012f1-710e-4a25-994a-93821f5871aa,pred_06a829fb-f070-4866-afc7-39bcb3fb3f87,ch_transition_verbal,transition,phala_anchors,"{""anchor_id"": ""06a829fb-f070-4866-afc7-39bcb3fb3f87""}",t,2026-08-13 01:16:29.658705+00
482012f1-710e-4a25-994a-93821f5871aa,pred_0706693e-361c-4e9e-bebb-88802b35444d,ch_wealth_verbal,wealth,phala_anchors,"{""anchor_id"": ""0706693e-361c-4e9e-bebb-88802b35444d""}",t,2026-08-13 01:16:29.658705+00
482012f1-710e-4a25-994a-93821f5871aa,pred_07f0d4c9-8c11-4b35-acd0-dbd04a02f35e,ch_transition_verbal,transition,phala_anchors,"{""anchor_id"": ""07f0d4c9-8c11-4b35-acd0-dbd04a02f35e""}",t,2026-08-13 01:16:29.658705+00
482012f1-710e-4a25-994a-93821f5871aa,pred_0a4f4a76-1f84-478e-9560-6cee8c92e180,ch_transition_verbal,transition,phala_anchors,"{""anchor_id"": ""0a4f4a76-1f84-478e-9560-6cee8c92e180""}",t,2026-08-13 01:16:29.658705+00
482012f1-710e-4a25-994a-93821f5871aa,pred_0d2241c8-bfaf-4303-80e6-34ea9acb053a,ch_career_verbal,career,phala_anchors,"{""anchor_id"": ""0d2241c8-bfaf-4303-80e6-34ea9acb053a""}",t,2026-08-13 01:16:29.658705+00
482012f1-710e-4a25-994a-93821f5871aa,pred_1031d3c5-e0bf-401f-aeab-6888415d4901,ch_transition_verbal,transition,phala_anchors,"{""anchor_id"": ""1031d3c5-e0bf-401f-aeab-6888415d4901""}",t,2026-08-13 01:16:29.658705+00
482012f1-710e-4a25-994a-93821f5871aa,pred_11e7b48d-89fa-4ee7-8309-5f5897004cf0,ch_career_verbal,career,phala_anchors,"{""anchor_id"": ""11e7b48d-89fa-4ee7-8309-5f5897004cf0""}",t,2026-08-13 01:16:29.658705+00
482012f1-710e-4a25-994a-93821f5871aa,pred_12a16552-76e3-4435-8add-d8f642ffd5fa,ch_wealth_verbal,wealth,phala_anchors,"{""anchor_id"": ""12a16552-76e3-4435-8add-d8f642ffd5fa""}",t,2026-08-13 01:16:29.658705+00
482012f1-710e-4a25-994a-93821f5871aa,pred_1308e667-9315-4f17-90c2-175913c78773,ch_transition_verbal,transition,phala_anchors,"{""anchor_id"": ""1308e667-9315-4f17-90c2-175913c78773""}",t,2026-08-13 01:16:29.658705+00
482012f1-710e-4a25-994a-93821f5871aa,pred_14ca8e88-14a9-46af-af84-6b66db2b9ccb,ch_spirituality_verbal,spirituality,phala_anchors,"{""anchor_id"": ""14ca8e88-14a9-46af-af84-6b66db2b9ccb""}",t,2026-08-13 01:16:29.658705+00
482012f1-710e-4a25-994a-93821f5871aa,pred_16d2f0cb-7336-4673-9d65-9b08b551d1fd,ch_transition_verbal,transition,phala_anchors,"{""anchor_id"": ""16d2f0cb-7336-4673-9d65-9b08b551d1fd""}",t,2026-08-13 01:16:29.658705+00
482012f1-710e-4a25-994a-93821f5871aa,pred_1725ee1e-b8b0-4ffb-871a-6efb15680f7b,ch_wealth_verbal,wealth,phala_anchors,"{""anchor_id"": ""1725ee1e-b8b0-4ffb-871a-6efb15680f7b""}",t,2026-08-13 01:16:29.658705+00
482012f1-710e-4a25-994a-93821f5871aa,pred_1838a99c-42b0-4217-9aa9-b40e95ee3b1a,ch_relationship_verbal,relationship,phala_anchors,"{""anchor_id"": ""1838a99c-42b0-4217-9aa9-b40e95ee3b1a""}",t,2026-08-13 01:16:29.658705+00
482012f1-710e-4a25-994a-93821f5871aa,pred_1b91874b-c8fa-4a0e-88c7-a910969b34c0,ch_transition_verbal,transition,phala_anchors,"{""anchor_id"": ""1b91874b-c8fa-4a0e-88c7-a910969b34c0""}",t,2026-08-13 01:16:29.658705+00
482012f1-710e-4a25-994a-93821f5871aa,pred_1c87f91c-1e9d-488f-85ac-46130140d135,ch_transition_verbal,transition,phala_anchors,"{""anchor_id"": ""1c87f91c-1e9d-488f-85ac-46130140d135""}",t,2026-08-13 01:16:29.658705+00
482012f1-710e-4a25-994a-93821f5871aa,pred_238d15a4-c198-4dfe-86f0-b91a20fccaec,ch_transition_verbal,transition,phala_anchors,"{""anchor_id"": ""238d15a4-c198-4dfe-86f0-b91a20fccaec""}",t,2026-08-13 01:16:29.658705+00
482012f1-710e-4a25-994a-93821f5871aa,pred_23bd38d3-6e61-4057-b728-1d91be93100c,ch_relationship_verbal,relationship,phala_anchors,"{""anchor_id"": ""23bd38d3-6e61-4057-b728-1d91be93100c""}",t,2026-08-13 01:16:29.658705+00
482012f1-710e-4a25-994a-93821f5871aa,pred_241dc768-1675-4a51-9816-47cb0972126e,ch_transition_verbal,transition,phala_anchors,"{""anchor_id"": ""241dc768-1675-4a51-9816-47cb0972126e""}",t,2026-08-13 01:16:29.658705+00
482012f1-710e-4a25-994a-93821f5871aa,pred_28186bdd-eb93-40e1-b879-9afd75981d64,ch_career_verbal,career,phala_anchors,"{""anchor_id"": ""28186bdd-eb93-40e1-b879-9afd75981d64""}",t,2026-08-13 01:16:29.658705+00
482012f1-710e-4a25-994a-93821f5871aa,pred_2b35548c-f119-4608-9028-48ee08c77f10,ch_transition_verbal,transition,phala_anchors,"{""anchor_id"": ""2b35548c-f119-4608-9028-48ee08c77f10""}",t,2026-08-13 01:16:29.658705+00
482012f1-710e-4a25-994a-93821f5871aa,pred_2edf6df4-cbf4-44b6-a0ee-ab426c88eabb,ch_transition_verbal,transition,phala_anchors,"{""anchor_id"": ""2edf6df4-cbf4-44b6-a0ee-ab426c88eabb""}",t,2026-08-13 01:16:29.658705+00
482012f1-710e-4a25-994a-93821f5871aa,pred_30fe8756-3341-40fc-94fd-a2e1cc1b395d,ch_career_verbal,career,phala_anchors,"{""anchor_id"": ""30fe8756-3341-40fc-94fd-a2e1cc1b395d""}",t,2026-08-13 01:16:29.658705+00
482012f1-710e-4a25-994a-93821f5871aa,pred_316b489e-f0b9-422f-82e5-1c0409dae31d,ch_relationship_verbal,relationship,phala_anchors,"{""anchor_id"": ""316b489e-f0b9-422f-82e5-1c0409dae31d""}",t,2026-08-13 01:16:29.658705+00
482012f1-710e-4a25-994a-93821f5871aa,pred_32ef8885-dbfb-404f-967f-5c42cadbec11,ch_wealth_verbal,wealth,phala_anchors,"{""anchor_id"": ""32ef8885-dbfb-404f-967f-5c42cadbec11""}",t,2026-08-13 01:16:29.658705+00
482012f1-710e-4a25-994a-93821f5871aa,pred_341b7a0c-1171-4d00-9a25-a697d1338ce8,ch_transition_verbal,transition,phala_anchors,"{""anchor_id"": ""341b7a0c-1171-4d00-9a25-a697d1338ce8""}",t,2026-08-13 01:16:29.658705+00
482012f1-710e-4a25-994a-93821f5871aa,pred_36353bce-5e51-4969-8ce1-10d70f5f3af6,ch_wealth_verbal,wealth,phala_anchors,"{""anchor_id"": ""36353bce-5e51-4969-8ce1-10d70f5f3af6""}",t,2026-08-13 01:16:29.658705+00
482012f1-710e-4a25-994a-93821f5871aa,pred_42955a0b-5b57-4fa2-b466-3e01a428f427,ch_character_verbal,character,phala_anchors,"{""anchor_id"": ""42955a0b-5b57-4fa2-b466-3e01a428f427""}",t,2026-08-13 01:16:29.658705+00
482012f1-710e-4a25-994a-93821f5871aa,pred_43822bc3-594f-494d-8926-3b12b408b26d,ch_career_verbal,career,phala_anchors,"{""anchor_id"": ""43822bc3-594f-494d-8926-3b12b408b26d""}",t,2026-08-13 01:16:29.658705+00
